,train,valid
0,2.155776315772524,2.277573714547776
1,1.7562371564367956,2.061060600465243
2,1.6632841907220917,1.961600112718278
3,1.5789774191694805,1.9141573200938868
4,1.603562557737124,1.9363267680395062
5,1.5741171010370072,1.90230530670899
6,1.5368832889365203,1.8863305280140348
7,1.5060210522607316,1.8960490629575506
8,1.510450407256419,1.8753463106338812
9,1.4937517058669956,1.875142579268389
10,1.4455982447589029,1.8781011567367039
11,1.5535648284471135,1.8582093312143377
12,1.4574381748962792,1.8108307766448655
13,1.4018835216273395,1.840844560258336
14,1.4539068510654949,1.8452658970234186
15,1.4557593423099207,1.7961359125794036
16,1.373894679414914,1.7601411519912682
17,1.382007936290604,1.7859335563997893
18,1.39185899443155,1.754541254049446
19,1.4108859281057522,1.7364853439073784
20,1.4181018252074447,1.8178991044962538
21,1.3971613447219022,1.8202191920351014
22,1.3963169004802045,1.7455263104315177
23,1.4019402328719912,1.776198484060464
24,1.403879208397049,1.7867453168973157
25,1.3435327469168667,1.7799944977685733
26,1.3785534729543305,1.7205447539702592
27,1.4003227143961883,1.7552149367478802
28,1.3542229857076162,1.7387219048449831
29,1.3505111809610433,1.7486311212075636
30,1.3758073017024253,1.7328421327121222
31,1.3512267878404811,1.793627699036957
32,1.385180688890852,1.7516755806623656
33,1.2679178409777503,1.7418246373347448
34,1.2984056367570096,1.7410230614525757
35,1.357927410610421,1.736066380544383
36,1.2670183293471842,1.7213162455943916
37,1.339694404133885,1.6943797259355475
38,1.3679471442242395,1.7775577864021186
39,1.3073820659376485,1.737663489231657
40,1.3533385788285461,1.7388561147186197
41,1.2932677552826544,1.7477483039699488
42,1.3000181123751537,1.7064514680090477
43,1.2993401801794033,1.7241323896777028
44,1.287837698429325,1.6965593094014177
45,1.4158352265162235,1.757976726581839
46,1.3768815272983617,1.7565621226731218
47,1.358418853627766,1.784122149108884
48,1.3628147132228867,1.7125974922612008
49,1.2910719637701185,1.745190027040496
50,1.300349962134063,1.749407523810588
51,1.2947330306135034,1.7371863167581207
52,1.363835380230642,1.7785534831132062
53,1.3276169968571478,1.7696238137641767
54,1.3713759445300981,1.7305125533738488
55,1.3238506142553637,1.750953645880582
56,1.2979161064202642,1.6539964957832045
57,1.2909669803638386,1.7095376676399388
